"","county","mean_price","p7525_ratio"
"200",6079,1037.064,1.381786
"201",6081,1989.444,2.940678
"202",6083,1079.693,1.539231
"203",6085,2095.646,2.442308
"204",6087,2263.941,3.576732
"205",6089,1532.543,4.133333
"206",6093,2528.295,4.195796
"207",6095,2640.102,1.725962
"208",6097,1810.32,2.7875
"209",6099,2632.055,3.126113
"210",6101,2165.927,1.992507
"211",6103,3062.593,4.626142
"212",6105,1889.678,3.954735
"213",6107,1754.851,2.511342
"214",6109,3046.082,1.835455
"215",6111,2326.766,3.852423
"216",6113,2648.742,1.558155
"217",6115,2284.737,2.846897
"218",8001,1389.401,2.692308
"219",8005,1223.034,2.416394
"220",8007,1028.547,1.819964
"221",8011,2233.161,1.79367
"222",8013,1124.492,1.67273
"223",8014,1167.681,2.129485
"224",8015,2104.016,1.418723
"225",8019,998.812,2.13841
"226",8021,2078.828,1.30104
"227",8025,2656.625,3.580947
"228",8027,1594.072,3.164258
"229",8029,1814.21,2.245687
"230",8031,1188.65,2.4
"231",8035,1235.536,2.428336
"232",8037,2763.277,1.346805
"233",8039,1239.561,2.564943
"234",8041,784.0089,1.287293
"235",8043,1827.936,3.384086
"236",8045,2396.655,1.605201
"237",8047,990.4335,1.658654
"238",8049,1732.556,2.918072
"239",8051,1470.439,2.200597
"240",8053,1565.525,2.481067
"241",8055,1395.363,2.079933
"242",8059,971.7845,1.529412
"243",8063,1999.942,1.683198
"244",8065,2478.08,1.901869
"245",8067,1119.696,1.803051
"246",8069,1115.145,1.5
"247",8071,2500.435,4.834443
"248",8073,1882.519,1.737401
"249",8075,3042.282,2.555919
"250",8077,1079.455,1.5
"251",8081,3047.201,1.885627
"252",8083,1352.513,1.513606
"253",8085,1668.124,2.446517
"254",8087,3543.495,2.327656
"255",8089,2123.211,3.59328
"256",8093,946.7054,2.204249
"257",8097,2366.015,1.481447
"258",8099,2724.089,1.800075
"259",8101,1626.647,2.995652
"260",8103,2086.431,3.48117
"261",8105,1916.106,2.976614
"262",8107,2218.387,1.709661
"263",8113,1219.675,2.484108
"264",8117,1680.273,1.493087
"265",8119,849.8734,1.573237
"266",8121,3438.438,1.706512
"267",8123,1885.078,3.739482
"268",8125,2716.599,1.874094
"269",9001,1836.406,3.164914
"270",9003,1561.205,2.920056
"271",9005,1520.891,3.054545
"272",9007,1248.584,2.017647
"273",9009,1587.706,2.475978
"274",9011,1329.883,3.220503
"275",9013,1869.744,3.653114
"276",9015,1754.242,2.745439
"277",10001,1003.18,1.731239
"278",10003,1065.218,1.981615
"279",10005,1404.005,3.167781
"280",11001,1325.466,2.986755
"281",12001,1253.035,2.112677
"282",12003,938.2487,1.5
"283",12005,1977.206,3.180851
"284",12007,1159.998,2.271036
"285",12009,988.704,1.75
"286",12011,1148.522,2.338078
"287",12013,1699.955,2.479382
"288",12015,1138.23,1.958678
"289",12017,831.0081,1.618605
"290",12019,1217.31,1.960784
"291",12021,945.4089,3.030131
"292",12023,907.8691,2.158273
"293",12027,975.0939,1.772779
"294",12029,1180.436,1.608418
"295",12031,970.9885,1.545
"296",12033,902.5321,1.5
"297",12035,1676.188,4.581423
"298",12037,1269.755,3.105855
"299",12039,1514.525,1.767152
"300",12041,1069.859,1.59403
"301",12043,3224.272,8.407752
"302",12045,1931.306,4.780434
"303",12047,1256.881,4.894894
"304",12049,1266.231,2.5795
"305",12051,1208.371,1.784791
"306",12053,1130.003,1.675214
"307",12055,2011.489,7.624158
"308",12057,1032.905,2.004132
"309",12059,1077.382,2.422509
"310",12061,1200.922,3.202597
"311",12063,1499.266,3.214286
"312",12065,1639.147,2.611466
"313",12067,1348.411,3.853222
"314",12069,1400.591,4.892272
"315",12071,854.2938,1.644231
"316",12073,1386.779,2.346357
"317",12075,1115.229,1.809645
"318",12077,1245.124,1.692
"319",12079,1605.269,4.386555
"320",12081,887.5221,1.75
"321",12083,956.2144,1.657549
"322",12085,1020.757,2.640257
"323",12086,1367.528,2.400598
"324",12087,3186.752,4.621954
"325",12089,1319.222,2.778269
"326",12091,3019.546,6.510131
"327",12095,910.9034,1.900024
"328",12097,1209.542,4.274951
"329",12099,847.6882,1.946667
"330",12101,1005.057,1.827032
"331",12103,834.6627,1.652778
"332",12105,1507.063,2.202
"333",12107,1099.197,2
"334",12109,932.0073,1.653967
"335",12111,1580.135,3.475175
"336",12113,1181.756,1.875
"337",12115,883.1287,1.617769
"338",12117,959.2233,1.851744
"339",12119,901.7352,2.162353
"340",12121,1057.084,2.984267
"341",12123,1939.9,2.672008
"342",12127,1302.498,4.251302
"343",12131,2782.406,5.530935
"344",12133,1213.812,2.616071
"345",13001,1474.437,3.499322
"346",13003,1216.471,3.050848
"347",13007,2563.764,1.588538
"348",13009,1761.888,1.843836
"349",13011,1444.388,2.948686
"350",13013,1754.773,4.857682
"351",13015,1250.985,3.432381
"352",13017,1943.526,6.007212
"353",13019,1074.32,1.727885
"354",13021,1275.515,3.904555
"355",13025,1304.56,2.014583
"356",13027,1415.566,3.409092
"357",13029,934.1832,1.56
"358",13031,3640.588,2.689855
"359",13033,1415.549,2.741486
"360",13035,1455.046,5.5418
"361",13037,2572.736,1.640207
"362",13039,1305.446,2.166903
"363",13043,2766.857,5.640259
"364",13045,1223.765,2.518119
"365",13047,1511.118,3.645159
"366",13049,1105.4,1.885356
"367",13051,677.8538,1.063265
"368",13053,1394.036,3.532104
"369",13055,918.8212,1.5
"370",13057,1126.716,2.92433
"371",13059,2329.222,3.297182
"372",13061,1185.151,3.42375
"373",13063,798.1,1.70083
"374",13065,1337.755,3.6471
"375",13067,962.2582,2.085
"376",13069,1163.499,2.415254
"377",13071,2107.892,3.373829
"378",13073,1149.623,2.670965
"379",13075,1691.021,3.972487
"380",13077,1217.969,3.71
"381",13079,1729.002,6.013514
"382",13081,1797.683,2.449727
"383",13083,1369.144,3.346646
"384",13085,1584.709,4.166667
"385",13087,2375.125,1.975043
"386",13089,1092.61,3.332
"387",13091,1272.248,4.433547
"388",13095,2599.5,1.623446
"389",13097,852.2868,1.75
"390",13099,1707.079,3.994304
"391",13101,1234.89,2.96537
"392",13103,1092.013,2.65492
"393",13105,2116.976,2.793943
"394",13107,2273.269,6.861598
"395",13109,2456.547,6.588301
"396",13111,2077.017,7.200381
"397",13113,770.6263,1.104
"398",13115,1263.891,3.234286
"399",13117,1812.714,4.775017
"400",13119,1854.466,2.636603
"401",13121,1095.64,2.90708
"402",13123,1797.114,5.64768
"403",13125,1044.529,2.34609
"404",13127,1017.73,1.5
"405",13129,1593.981,4.622876
"406",13131,1920.186,1.840065
"407",13133,2047.766,3.460113
"408",13135,947.5989,2.022059
"409",13137,1312.241,2.371677
"410",13139,1111.983,2.353333
"411",13143,1392.039,2.860388
"412",13145,1662.615,2.331595
"413",13147,2044.252,2.204576
"414",13149,1438.219,3.66
"415",13151,805.0256,1.790415
"416",13153,2558.698,2.28046
"417",13155,2045.227,6.557988
"418",13157,1655.255,3.689006
"419",13159,778.0674,1.5
"420",13161,1846.029,2.954178
"421",13163,1331.264,2.401065
"422",13165,2069.895,4.658902
"423",13167,1545.964,1.607469
"424",13169,1811.558,3.409154
"425",13171,1584.791,5.2537
"426",13173,1070.127,3.171911
"427",13175,1551.34,5.418677
"428",13177,2663.408,1.644732
"429",13179,867.8547,1.88499
"430",13181,1337.343,2.995058
"431",13183,1668.754,4.052384
"432",13185,1231.009,3.960522
"433",13187,1165.014,3.896313
"434",13189,1268.698,2.813644
"435",13191,991.7474,1.5
"436",13193,2306.651,4.510657
"437",13195,2180.587,3.26438
"438",13197,1839.87,3.817391
"439",13199,1887.974,5.7
"440",13205,2525.821,1.604276
"441",13207,1273.317,3.904555
"442",13209,1907.07,6.663606
"443",13211,1242.758,4.643788
"444",13213,1401.126,4.677
"445",13215,1592.303,3.015714
"446",13217,869.0897,2.442953
"447",13219,2265.637,4.611929
"448",13221,2335.498,3.355705
"449",13223,1003.169,2.288
"450",13227,933.1998,1.75
"451",13229,1464.808,1.75
"452",13231,1577.971,4.78136
"453",13233,959.6448,1.5
"454",13235,1640.947,3.345399
"455",13237,2170.966,3.681576
"456",13239,1564.554,4.464286
"457",13241,2089.418,2.923077
"458",13243,2489.314,1.611679
"459",13245,1305.342,2.986689
"460",13247,905.4402,2.262582
"461",13249,3141.822,2.113962
"462",13251,3316.172,6.482103
"463",13253,2590.477,7.472839
"464",13255,1088.862,3.154
"465",13259,1888.455,4.347826
"466",13261,3128.664,2.149802
"467",13263,1513.585,3.738783
"468",13267,2254.516,7.103846
"469",13269,1747.385,4.950435
"470",13271,1524.266,4.869396
"471",13275,2005.998,1.688142
"472",13277,1267.198,3.338462
"473",13281,1033.845,1.612937
"474",13283,1793.268,4.869415
"475",13285,2402.949,1.794011
